Bondpad instance,net,x_um (OR),y_um (OR)
IO_BOND_pad_vddio0,VDDIO,35,1626
IO_BOND_pad_uart_rx_i,uart_rx_i,35,1524
IO_BOND_pad_uart_tx_o,uart_tx_o,35,1422
IO_BOND_pad_testmode_i,testmode_i,35,1320
IO_BOND_pad_status_o,status_o,35,1218
IO_BOND_pad_clk_i,clk_i,35,1116
IO_BOND_pad_ref_clk_i,ref_clk_i,35,1014
IO_BOND_pad_rst_ni,rst_ni,35,912
IO_BOND_pad_jtag_tck_i,jtag_tck_i,35,810
IO_BOND_pad_jtag_trst_ni,jtag_trst_ni,35,708
IO_BOND_pad_jtag_tms_i,jtag_tms_i,35,606
IO_BOND_pad_jtag_tdi_i,jtag_tdi_i,35,504
IO_BOND_pad_jtag_tdo_o,jtag_tdo_o,35,402
IO_BOND_pad_vdd0,VDD,35,300
IO_BOND_pad_vss0,VSS,290,35
IO_BOND_pad_vssio1,VSSIO,398,35
IO_BOND_pad_vddio1,VDDIO,506,35
IO_BOND_pad_gpio0_io,gpio0_io,614,35
IO_BOND_pad_gpio1_io,gpio1_io,722,35
IO_BOND_pad_gpio2_io,gpio2_io,830,35
IO_BOND_pad_gpio3_io,gpio3_io,938,35
IO_BOND_pad_gpio4_io,gpio4_io,1046,35
IO_BOND_pad_gpio5_io,gpio5_io,1154,35
IO_BOND_pad_gpio6_io,gpio6_io,1262,35
IO_BOND_pad_gpio7_io,gpio7_io,1370,35
IO_BOND_pad_gpio8_io,gpio8_io,1478,35
IO_BOND_pad_gpio9_io,gpio9_io,1586,35
IO_BOND_pad_gpio10_io,gpio10_io,1694,35
IO_BOND_pad_gpio11_io,gpio11_io,1802,35
IO_BOND_pad_vdd1,VDD,1910,35
IO_BOND_pad_vss1,VSS,2018,35
IO_BOND_pad_vssio2,VSSIO,2126,35
IO_BOND_pad_vddio2,VDDIO,2381,290
IO_BOND_pad_gpio12_io,gpio12_io,2381,392
IO_BOND_pad_gpio13_io,gpio13_io,2381,494
IO_BOND_pad_gpio14_io,gpio14_io,2381,596
IO_BOND_pad_gpio15_io,gpio15_io,2381,698
IO_BOND_pad_gpio16_io,gpio16_io,2381,800
IO_BOND_pad_gpio17_io,gpio17_io,2381,902
IO_BOND_pad_gpio18_io,gpio18_io,2381,1004
IO_BOND_pad_gpio19_io,gpio19_io,2381,1106
IO_BOND_pad_gpio20_io,gpio20_io,2381,1208
IO_BOND_pad_gpio21_io,gpio21_io,2381,1310
IO_BOND_pad_gpio22_io,gpio22_io,2381,1412
IO_BOND_pad_gpio23_io,gpio23_io,2381,1514
IO_BOND_pad_vdd2,VDD,2381,1616
IO_BOND_pad_vss2,VSS,2126,1881
IO_BOND_pad_vssio3,VSSIO,2018,1881
IO_BOND_pad_vddio3,VDDIO,1910,1881
IO_BOND_pad_gpio24_io,gpio24_io,1802,1881
IO_BOND_pad_gpio25_io,gpio25_io,1694,1881
IO_BOND_pad_gpio26_io,gpio26_io,1586,1881
IO_BOND_pad_gpio27_io,gpio27_io,1478,1881
IO_BOND_pad_gpio28_io,gpio28_io,1370,1881
IO_BOND_pad_gpio29_io,gpio29_io,1262,1881
IO_BOND_pad_gpio30_io,gpio30_io,1154,1881
IO_BOND_pad_gpio31_io,gpio31_io,1046,1881
IO_BOND_pad_unused0_o,unused0_o,938,1881
IO_BOND_pad_unused1_o,unused1_o,830,1881
IO_BOND_pad_unused2_o,unused2_o,722,1881
IO_BOND_pad_unused3_o,unused3_o,614,1881
IO_BOND_pad_vdd3,VDD,506,1881
IO_BOND_pad_vss3,VSS,398,1881
IO_BOND_pad_vssio0,VSSIO,290,1881
